,Location,Year,population,fossil_energy_per_capita,renewables_energy_per_capita,energy_per_capita,Record Counter,LEx,LE15,LE65,LE80
87,Africa,1965,321447378.0,2100.505,127.918,2228.423,27,43.4401,45.7137,11.2665,4.9844
88,Africa,1966,329658389.0,2136.364,139.123,2275.487,27,43.433,45.634,11.2447,4.9787
89,Africa,1967,338159967.0,2099.772,141.577,2241.349,27,43.6456,45.541,11.2492,4.9786
90,Africa,1968,346980412.0,2145.93,161.394,2307.324,27,44.1023,45.827,11.3158,4.9931
91,Africa,1969,356070643.0,2126.871,183.537,2310.408,27,44.3156,45.8841,11.3276,4.9919
92,Africa,1970,365450443.0,2220.089,223.568,2443.656,27,44.7834,46.2162,11.3747,5.0075
93,Africa,1971,375086296.0,2334.724,206.472,2541.196,27,45.322,46.548,11.429,5.0282
94,Africa,1972,384930776.0,2389.03,229.007,2618.036,27,45.4068,46.4846,11.4552,5.0464
95,Africa,1973,395212420.0,2525.897,235.902,2761.8,27,46.1543,46.9747,11.5514,5.0864
96,Africa,1974,406069208.0,2560.901,261.103,2822.004,27,46.4601,47.1863,11.5797,5.1098
97,Africa,1975,417556976.0,2640.094,268.42,2908.514,27,46.903,47.3796,11.6504,5.1476
98,Africa,1976,429573262.0,2780.994,289.091,3070.085,27,47.6398,47.7003,11.7638,5.2024
99,Africa,1977,441701768.0,2841.573,308.838,3150.411,27,48.1637,47.9616,11.8367,5.2412
100,Africa,1978,454463053.0,2877.135,302.668,3179.803,27,48.5646,48.1054,11.8803,5.2679
101,Africa,1979,467976240.0,3049.865,314.558,3364.423,27,49.0955,48.3664,11.9433,5.2938
102,Africa,1980,481543145.0,3215.964,298.038,3514.002,27,49.5116,48.5573,12.0006,5.3204
103,Africa,1981,495655683.0,3530.238,300.845,3831.083,27,49.9137,48.7387,12.0358,5.3348
104,Africa,1982,510540596.0,3671.483,292.264,3963.747,27,50.2819,48.8395,12.0744,5.3567
105,Africa,1983,525335348.0,3710.441,256.083,3966.524,27,49.5505,48.4768,11.9749,5.3406
106,Africa,1984,540183119.0,3711.402,244.923,3976.943,27,49.7051,48.3831,11.9907,5.3526
107,Africa,1985,555652995.0,3731.344,264.699,4023.186,27,50.0863,48.5243,12.0397,5.3812
108,Africa,1986,571646786.0,3678.991,268.014,3990.702,27,50.5501,48.6656,12.0915,5.4075
109,Africa,1987,588080029.0,3724.432,250.021,4004.209,27,50.8954,48.5234,12.1529,5.4415
110,Africa,1988,604511530.0,3855.008,265.27,4169.531,27,50.4287,48.3474,12.078,5.4447
111,Africa,1989,621167964.0,3742.381,270.882,4063.964,27,51.6789,49.0027,12.2567,5.4961
112,Africa,1990,638157571.0,3779.73,269.147,4086.444,27,51.6467,48.8591,12.2577,5.5083
113,Africa,1991,655040869.0,3659.419,277.637,3976.666,27,51.485,48.8128,12.2366,5.5117
114,Africa,1992,671931834.0,3637.335,258.541,3935.098,27,51.2365,48.4917,12.1965,5.4996
115,Africa,1993,689140286.0,3570.017,247.482,3847.371,27,51.549,48.483,12.2475,5.5239
116,Africa,1994,706488557.0,3595.591,244.784,3879.322,27,50.5156,47.065,12.1513,5.5105
117,Africa,1995,724331972.0,3644.17,248.366,3936.807,27,52.1161,48.7442,12.2881,5.5363
118,Africa,1996,742765067.0,3638.592,253.375,3936.949,27,52.128,48.6129,12.3337,5.5824
119,Africa,1997,761224818.0,3621.96,253.749,3922.852,27,52.3075,48.6007,12.3931,5.6221
120,Africa,1998,779908311.0,3579.052,259.616,3888.152,27,51.8964,48.1016,12.3616,5.6223
121,Africa,1999,799099611.0,3597.172,268.285,3911.04,27,52.7745,48.514,12.476,5.6608
122,Africa,2000,818952374.0,3575.967,281.234,3902.278,27,53.3498,48.8297,12.5648,5.7126
123,Africa,2001,839464127.0,3613.564,293.375,3942.936,27,53.6201,48.7756,12.594,5.7207
124,Africa,2002,860611762.0,3557.756,299.018,3895.799,27,53.9987,48.862,12.6299,5.737
125,Africa,2003,882349569.0,3660.332,283.2,3983.47,27,54.4224,48.9501,12.6552,5.7342
126,Africa,2004,904781595.0,3839.166,291.297,4171.311,27,54.8957,49.1314,12.7128,5.7664
127,Africa,2005,927898412.0,3759.233,286.832,4079.506,27,55.4669,49.3948,12.7735,5.7917
128,Africa,2006,951740562.0,3735.217,290.345,4054.325,27,56.1389,49.7544,12.8394,5.8176
129,Africa,2007,976461747.0,3781.004,289.613,4102.063,27,56.73,50.0534,12.9048,5.8458
130,Africa,2008,1001981577.0,3915.248,286.588,4236.832,27,57.3081,50.3686,12.9731,5.882
131,Africa,2009,1028200528.0,3878.879,286.0,4198.256,27,58.0158,50.7937,13.0639,5.9182
132,Africa,2010,1055233717.0,3882.746,300.899,4217.788,27,58.608,51.1717,13.1339,5.9509
133,Africa,2011,1082676070.0,3810.795,301.392,4143.733,27,59.2511,51.575,13.2077,5.9656
134,Africa,2012,1110797495.0,3874.421,294.989,4200.126,27,59.8106,51.9232,13.2887,6.011
135,Africa,2013,1140180888.0,3870.303,303.772,4206.431,27,60.2924,52.2068,13.3421,6.0321
136,Africa,2014,1170299297.0,3862.466,317.779,4210.886,27,60.7463,52.4905,13.4213,6.0871
137,Africa,2015,1201108186.0,3862.6,315.197,4204.125,27,61.1288,52.7105,13.4724,6.1089
138,Africa,2016,1232111820.0,3867.859,306.766,4205.953,27,61.588,53.0092,13.5701,6.1774
139,Africa,2017,1263333997.0,3854.16,324.966,4207.816,27,61.9858,53.2582,13.6506,6.2145
140,Africa,2018,1295265310.0,3833.317,339.213,4195.228,27,62.3435,53.4663,13.7105,6.2351
141,Africa,2019,1327701380.0,3808.938,353.471,4187.656,27,62.688,53.6715,13.7677,6.2546
142,Africa,2020,1360677453.0,3483.574,368.932,3870.848,27,62.2342,52.973,13.0497,5.875
143,Africa,2021,1393676724.0,3625.505,379.353,4027.117,27,61.6609,52.1976,12.559,5.5959
144,Africa,2022,1426736614.0,3545.31,380.824,3943.844,27,62.1532,52.6009,12.827,5.7188
232,Algeria,1965,12381262.0,1910.132,95.531,2005.664,60,42.714,43.8364,10.314,4.1664
233,Algeria,1966,12613398.0,2281.922,83.224,2365.146,60,42.5429,43.6524,10.1708,4.1029
234,Algeria,1967,12897121.0,2096.207,94.003,2190.21,60,42.5675,43.6572,10.0998,4.0785
235,Algeria,1968,13190979.0,2174.229,126.206,2300.435,60,42.6422,43.6553,10.0197,4.0495
236,Algeria,1969,13491022.0,2406.913,79.125,2486.038,60,42.7814,43.6671,9.9407,4.023
237,Algeria,1970,13795915.0,2540.161,124.316,2664.477,60,43.1597,43.8476,9.923,4.0274
238,Algeria,1971,14110269.0,2746.726,69.156,2815.882,60,43.6703,44.124,9.942,4.0522
239,Algeria,1972,14439750.0,2990.643,101.367,3092.01,60,44.3465,44.496,9.9952,4.094
240,Algeria,1973,14786473.0,3450.926,150.384,3601.31,60,45.0793,44.8499,10.0395,4.1318
241,Algeria,1974,15153601.0,3790.472,96.982,3887.454,60,46.0341,45.3873,10.1634,4.2203
242,Algeria,1975,15724698.0,4413.426,61.68,4475.105,60,46.9722,45.8522,10.2558,4.2883
243,Algeria,1976,16500516.0,4906.019,69.711,4975.73,60,47.9854,46.3619,10.3574,4.3661
244,Algeria,1977,17134196.0,5218.639,46.424,5265.062,60,49.1913,47.0384,10.5371,4.4867
245,Algeria,1978,17632646.0,6387.143,41.925,6429.067,60,50.3529,47.6238,10.6901,4.5865
246,Algeria,1979,18166982.0,8129.018,47.365,8176.383,60,51.7549,48.4097,10.9441,4.7419
247,Algeria,1980,18739378.0,9412.426,40.553,9452.979,60,53.2609,49.2427,11.2826,4.9548
248,Algeria,1981,19351356.0,11064.026,55.927,11119.953,60,55.2763,50.2996,11.6374,5.1564
249,Algeria,1982,20000098.0,12334.725,70.82,12405.545,60,57.4284,51.445,12.1118,5.4357
250,Algeria,1983,20682110.0,13067.9,33.599,13101.499,60,59.5101,52.452,12.5304,5.6786
251,Algeria,1984,21393532.0,12099.901,62.475,12162.377,60,61.6581,53.5846,13.0315,5.9663
252,Algeria,1985,22132910.0,11764.669,86.307,11850.976,60,63.5879,54.6311,13.5099,6.2457
253,Algeria,1986,22882560.0,12094.42,32.306,12126.727,60,65.159,55.5376,13.9306,6.4948
254,Algeria,1987,23586098.0,12027.957,62.56,12090.516,60,65.8297,55.709,13.9176,6.4651
255,Algeria,1988,24243024.0,12576.017,22.321,12598.338,60,66.9713,56.5251,14.2886,6.666
256,Algeria,1989,24889516.0,11908.628,26.85,11935.477,60,67.0855,56.4027,14.1179,6.5405
257,Algeria,1990,25518074.0,12327.519,15.644,12343.162,60,67.416,56.5798,14.1313,6.5236
258,Algeria,1991,26133906.0,11908.999,33.152,11942.152,60,67.6875,56.7137,14.1282,6.4935
259,Algeria,1992,26748302.0,11949.858,21.999,11971.857,60,67.7571,56.6812,14.0582,6.4175
260,Algeria,1993,27354326.0,10855.729,38.159,10893.888,60,67.7195,56.5281,13.9029,6.2783
261,Algeria,1994,27937006.0,10789.64,17.57,10807.21,60,67.3614,56.0498,13.748,6.1464
262,Algeria,1995,28478024.0,10975.977,20.04,10996.016,60,67.4544,56.0386,13.5572,5.9881
263,Algeria,1996,28984640.0,10678.949,13.773,10692.724,60,68.7493,57.2591,14.1601,6.2993
264,Algeria,1997,29476030.0,10097.629,7.524,10105.151,60,69.1706,57.6013,14.3437,6.3743
265,Algeria,1998,29924664.0,10282.93,21.245,10304.176,60,69.4506,57.8188,14.4492,6.396
266,Algeria,1999,30346086.0,10242.966,19.781,10262.746,60,70.0316,58.3576,14.5607,6.3989
267,Algeria,2000,30774624.0,9741.336,5.189,9746.524,60,70.4779,58.7825,14.7734,6.4841
268,Algeria,2001,31200984.0,9955.143,6.497,9961.64,60,70.8233,59.1263,14.9178,6.5227
269,Algeria,2002,31624700.0,10175.09,5.261,10180.35,60,71.2296,59.3948,15.0165,6.5275
270,Algeria,2003,32055882.0,10486.486,23.975,10510.461,60,71.2868,59.4052,15.0008,6.4679
271,Algeria,2004,32510184.0,10736.774,22.248,10759.022,60,71.7617,59.706,15.0663,6.4552
272,Algeria,2005,32956690.0,11065.476,48.247,11113.723,60,72.0612,59.8998,15.1388,6.4562
273,Algeria,2006,33435082.0,11323.462,18.518,11341.98,60,72.3336,60.0645,15.2032,6.4571
274,Algeria,2007,33983836.0,11740.897,18.804,11759.701,60,72.6019,60.2389,15.2868,6.4742
275,Algeria,2008,34569592.0,12229.293,23.004,12252.297,60,72.9405,60.4842,15.398,6.5078
276,Algeria,2009,35196040.0,12725.983,27.137,12753.12,60,73.6196,61.0819,15.769,6.7092
277,Algeria,2010,35856348.0,12229.061,14.096,12243.156,60,73.8081,61.1955,15.7851,6.6818
278,Algeria,2011,36543548.0,12680.638,29.903,12710.541,60,74.1234,61.458,15.931,6.7454
279,Algeria,2012,37260568.0,13594.317,30.592,13624.909,60,74.2024,61.491,15.9216,6.7161
280,Algeria,2013,38000628.0,14121.583,9.152,14130.735,60,74.6153,61.8769,16.1543,6.8376
281,Algeria,2014,38760168.0,15090.883,17.753,15108.635,60,75.11,62.3432,16.4487,7.0069
282,Algeria,2015,39543148.0,15601.193,15.119,15616.311,60,75.622,62.833,16.7734,7.1786
283,Algeria,2016,40339328.0,15272.842,22.301,15295.143,60,75.7318,62.904,16.8026,7.1617
284,Algeria,2017,41136548.0,15126.544,37.458,15164.0,60,75.7428,62.8744,16.7684,7.1103
285,Algeria,2018,41927008.0,15925.02,46.065,15971.084,60,76.0656,63.1575,16.9618,7.2101
286,Algeria,2019,42705372.0,16211.092,47.96,16259.053,60,76.4742,63.5244,17.2242,7.3601
287,Algeria,2020,43451668.0,14888.941,44.866,14933.807,60,74.4528,61.3956,15.6054,6.2849
288,Algeria,2021,44177964.0,15873.962,40.502,15914.461,60,76.3767,63.3126,16.919,7.2343
