Year,Location,energy_per_capita,fossil_energy_per_capita,renewables_energy_per_capita,LEx,LE15,LE65,LE80
1965,Africa,2228.423,2100.505,127.918,43.4401,45.7137,11.2665,4.9844
1966,Africa,2275.487,2136.364,139.123,43.433,45.634,11.2447,4.9787
1967,Africa,2241.349,2099.772,141.577,43.6456,45.541,11.2492,4.9786
1968,Africa,2307.324,2145.93,161.394,44.1023,45.827,11.3158,4.9931
1969,Africa,2310.408,2126.871,183.537,44.3156,45.8841,11.3276,4.9919
1970,Africa,2443.656,2220.089,223.568,44.7834,46.2162,11.3747,5.0075
1971,Africa,2541.196,2334.724,206.472,45.322,46.548,11.429,5.0282
1972,Africa,2618.036,2389.03,229.007,45.4068,46.4846,11.4552,5.0464
1973,Africa,2761.8,2525.897,235.902,46.1543,46.9747,11.5514,5.0864
1974,Africa,2822.004,2560.901,261.103,46.4601,47.1863,11.5797,5.1098
1975,Africa,2908.514,2640.094,268.42,46.903,47.3796,11.6504,5.1476
1976,Africa,3070.085,2780.994,289.091,47.6398,47.7003,11.7638,5.2024
1977,Africa,3150.411,2841.573,308.838,48.1637,47.9616,11.8367,5.2412
1978,Africa,3179.803,2877.135,302.668,48.5646,48.1054,11.8803,5.2679
1979,Africa,3364.423,3049.865,314.558,49.0955,48.3664,11.9433,5.2938
1980,Africa,3514.002,3215.964,298.038,49.5116,48.5573,12.0006,5.3204
1981,Africa,3831.083,3530.238,300.845,49.9137,48.7387,12.0358,5.3348
1982,Africa,3963.747,3671.483,292.264,50.2819,48.8395,12.0744,5.3567
1983,Africa,3966.524,3710.441,256.083,49.5505,48.4768,11.9749,5.3406
1984,Africa,3976.943,3711.402,244.923,49.7051,48.3831,11.9907,5.3526
1985,Africa,4023.186,3731.344,264.699,50.0863,48.5243,12.0397,5.3812
1986,Africa,3990.702,3678.991,268.014,50.5501,48.6656,12.0915,5.4075
1987,Africa,4004.209,3724.432,250.021,50.8954,48.5234,12.1529,5.4415
1988,Africa,4169.531,3855.008,265.27,50.4287,48.3474,12.078,5.4447
1989,Africa,4063.964,3742.381,270.882,51.6789,49.0027,12.2567,5.4961
1990,Africa,4086.444,3779.73,269.147,51.6467,48.8591,12.2577,5.5083
1991,Africa,3976.666,3659.419,277.637,51.485,48.8128,12.2366,5.5117
1992,Africa,3935.098,3637.335,258.541,51.2365,48.4917,12.1965,5.4996
1993,Africa,3847.371,3570.017,247.482,51.549,48.483,12.2475,5.5239
1994,Africa,3879.322,3595.591,244.784,50.5156,47.065,12.1513,5.5105
1995,Africa,3936.807,3644.17,248.366,52.1161,48.7442,12.2881,5.5363
1996,Africa,3936.949,3638.592,253.375,52.128,48.6129,12.3337,5.5824
1997,Africa,3922.852,3621.96,253.749,52.3075,48.6007,12.3931,5.6221
1998,Africa,3888.152,3579.052,259.616,51.8964,48.1016,12.3616,5.6223
1999,Africa,3911.04,3597.172,268.285,52.7745,48.514,12.476,5.6608
2000,Africa,3902.278,3575.967,281.234,53.3498,48.8297,12.5648,5.7126
2001,Africa,3942.936,3613.564,293.375,53.6201,48.7756,12.594,5.7207
2002,Africa,3895.799,3557.756,299.018,53.9987,48.862,12.6299,5.737
2003,Africa,3983.47,3660.332,283.2,54.4224,48.9501,12.6552,5.7342
2004,Africa,4171.311,3839.166,291.297,54.8957,49.1314,12.7128,5.7664
2005,Africa,4079.506,3759.233,286.832,55.4669,49.3948,12.7735,5.7917
2006,Africa,4054.325,3735.217,290.345,56.1389,49.7544,12.8394,5.8176
2007,Africa,4102.063,3781.004,289.613,56.73,50.0534,12.9048,5.8458
2008,Africa,4236.832,3915.248,286.588,57.3081,50.3686,12.9731,5.882
2009,Africa,4198.256,3878.879,286.0,58.0158,50.7937,13.0639,5.9182
2010,Africa,4217.788,3882.746,300.899,58.608,51.1717,13.1339,5.9509
2011,Africa,4143.733,3810.795,301.392,59.2511,51.575,13.2077,5.9656
2012,Africa,4200.126,3874.421,294.989,59.8106,51.9232,13.2887,6.011
2013,Africa,4206.431,3870.303,303.772,60.2924,52.2068,13.3421,6.0321
2014,Africa,4210.886,3862.466,317.779,60.7463,52.4905,13.4213,6.0871
2015,Africa,4204.125,3862.6,315.197,61.1288,52.7105,13.4724,6.1089
2016,Africa,4205.953,3867.859,306.766,61.588,53.0092,13.5701,6.1774
2017,Africa,4207.816,3854.16,324.966,61.9858,53.2582,13.6506,6.2145
2018,Africa,4195.228,3833.317,339.213,62.3435,53.4663,13.7105,6.2351
2019,Africa,4187.656,3808.938,353.471,62.688,53.6715,13.7677,6.2546
2020,Africa,3870.848,3483.574,368.932,62.2342,52.973,13.0497,5.875
2021,Africa,4027.117,3625.505,379.353,61.6609,52.1976,12.559,5.5959
2022,Africa,3943.844,3545.31,380.824,62.1532,52.6009,12.827,5.7188
1965,Asia,2816.082,2593.657,222.387,50.5795,48.2289,11.1161,4.8483
1966,Asia,2983.344,2756.053,226.441,51.4792,48.8695,11.2864,4.9333
1967,Asia,3052.208,2844.559,206.754,52.1418,49.3262,11.3764,4.973
1968,Asia,3215.819,2990.036,224.333,53.0428,49.7656,11.4817,5.0165
1969,Asia,3566.374,3336.711,227.214,53.6282,50.1335,11.5722,5.077
1970,Asia,3943.964,3708.85,227.324,53.9314,50.3405,11.6573,5.1351
1971,Asia,4229.958,3975.412,242.873,53.3624,49.6928,11.6701,5.2036
1972,Asia,4394.658,4135.672,245.583,55.2811,51.1774,12.0169,5.3478
1973,Asia,4655.452,4417.263,223.313,55.9197,51.6166,12.2239,5.4411
1974,Asia,4660.921,4385.413,248.877,56.4214,51.942,12.3849,5.5311
1975,Asia,4733.548,4437.785,262.739,56.6852,52.0806,12.5177,5.6138
1976,Asia,4910.214,4602.04,264.901,57.2105,52.4208,12.6628,5.68
1977,Asia,5139.0,4844.678,255.565,58.0184,52.9841,12.7955,5.7566
1978,Asia,5398.847,5059.825,264.372,58.5302,53.2594,12.8688,5.7959
1979,Asia,5596.692,5224.946,281.432,59.1162,53.5737,12.955,5.8444
1980,Asia,5501.566,5100.222,297.124,59.6039,53.7928,12.9847,5.8379
1981,Asia,5475.136,5052.858,312.465,60.1084,54.038,13.0758,5.8896
1982,Asia,5486.803,5047.548,313.393,60.6145,54.2857,13.1626,5.946
1983,Asia,5670.633,5200.076,322.986,61.0726,54.5701,13.2392,5.9723
1984,Asia,6002.473,5509.327,319.091,61.5409,54.8648,13.3459,6.0304
1985,Asia,6884.569,6306.246,368.458,61.9822,55.1166,13.4411,6.0747
1986,Asia,7031.574,6447.955,364.784,62.4858,55.3802,13.5503,6.1267
1987,Asia,7283.99,6660.039,370.048,62.938,55.6194,13.6599,6.1832
1988,Asia,7639.333,6988.958,415.479,63.2672,55.7814,13.7281,6.1938
1989,Asia,7850.388,7191.774,418.099,63.7009,56.0385,13.8347,6.2509
1990,Asia,8004.866,7324.175,426.917,64.0389,56.1886,13.8996,6.2613
1991,Asia,8170.006,7479.682,424.14,64.2294,56.3328,13.9675,6.2852
1992,Asia,8391.733,7702.689,420.322,64.7535,56.6582,14.1398,6.3766
1993,Asia,8606.23,7855.537,457.659,65.1086,56.8774,14.2762,6.4595
1994,Asia,8909.805,8151.194,450.611,65.4131,57.0306,14.3708,6.5094
1995,Asia,9163.48,8346.813,482.203,65.6966,57.1916,14.4841,6.5722
1996,Asia,9426.927,8606.345,472.416,65.9998,57.3263,14.5733,6.6393
1997,Asia,9564.517,8732.054,467.317,66.4141,57.5677,14.7149,6.7121
1998,Asia,9447.087,8583.624,488.761,66.8629,57.8391,14.8871,6.8156
1999,Asia,9621.604,8772.187,473.565,67.2127,57.9906,14.9518,6.8181
2000,Asia,9864.972,8999.97,483.604,67.6292,58.1745,15.0676,6.8947
2001,Asia,10068.242,9178.793,510.669,68.1255,58.4873,15.2699,7.0335
2002,Asia,10431.763,9528.807,521.994,68.5285,58.6892,15.3633,7.0836
2003,Asia,11106.729,10240.069,534.117,68.9269,58.8677,15.4424,7.1152
2004,Asia,12024.823,11034.729,615.614,69.1634,58.9541,15.5055,7.1563
2005,Asia,12776.326,11760.506,632.003,69.615,59.1677,15.5662,7.1713
2006,Asia,13350.881,12277.209,686.841,70.0502,59.3789,15.673,7.236
2007,Asia,13998.733,12919.018,715.279,70.3458,59.4782,15.7144,7.2577
2008,Asia,14291.811,13139.845,804.429,70.5111,59.5093,15.7529,7.2827
2009,Asia,14426.608,13278.283,791.19,70.9919,59.7559,15.8692,7.3551
2010,Asia,15190.584,13913.51,907.582,71.3472,59.9409,15.9665,7.4034
2011,Asia,15791.833,14559.163,931.397,71.6749,60.1027,16.06,7.4594
2012,Asia,16164.222,14903.371,1049.563,72.0416,60.3045,16.2066,7.5508
2013,Asia,16400.99,15042.688,1148.187,72.3901,60.5247,16.3587,7.647
2014,Asia,16676.557,15192.178,1261.735,72.7841,60.7614,16.5154,7.7485
2015,Asia,16825.139,15245.994,1332.202,73.1205,60.9783,16.6745,7.843
2016,Asia,16970.572,15270.59,1428.114,73.4446,61.1619,16.8104,7.9277
2017,Asia,17376.299,15550.419,1543.296,73.681,61.2571,16.8675,7.9564
2018,Asia,17850.889,15864.545,1675.105,73.9909,61.5051,17.0302,8.0533
2019,Asia,18214.143,16029.353,1826.491,74.1876,61.6244,17.101,8.0886
2020,Asia,17964.684,15667.932,1936.972,73.7415,61.11,16.6789,7.8845
2021,Asia,18812.572,16303.895,2118.004,72.5321,59.8141,15.9106,7.4329
2022,Asia,19139.609,16428.768,2304.22,73.1802,60.4942,16.4035,7.7311
1965,Europe,30301.293,28415.236,1789.799,69.7955,57.9409,14.3409,6.1746
1966,Europe,31318.326,29263.027,1931.783,70.0242,58.0792,14.4654,6.259
1967,Europe,32240.748,30196.041,1903.311,70.0139,58.0347,14.4647,6.2674
1968,Europe,33788.301,31613.826,2013.006,69.9132,57.8732,14.3043,6.1328
1969,Europe,35653.809,33431.824,2027.703,69.6398,57.5701,14.1724,6.187
1970,Europe,37587.559,35240.676,2135.522,69.9716,57.8382,14.3848,6.2591
1971,Europe,38647.113,36257.152,2148.517,70.1067,57.8796,14.4313,6.2562
1972,Europe,40263.5,37753.141,2180.549,70.3388,58.0102,14.5517,6.332
1973,Europe,42196.984,39627.043,2194.089,70.4014,58.0344,14.5417,6.2836
1974,Europe,42414.113,39601.98,2353.623,70.6441,58.2097,14.6808,6.377
1975,Europe,42659.738,39710.418,2340.808,70.5324,58.0685,14.6178,6.328
1976,Europe,44516.797,41563.816,2226.943,70.6257,58.0991,14.6804,6.3515
1977,Europe,45502.203,42013.238,2608.19,70.8735,58.2991,14.8981,6.514
1978,Europe,47096.398,43441.641,2689.38,70.8856,58.2609,14.8911,6.4899
1979,Europe,48491.012,44629.074,2785.842,70.9521,58.2752,14.9708,6.5419
1980,Europe,47940.016,43908.398,2762.613,70.9463,58.2136,14.9431,6.5093
1981,Europe,47406.551,42969.191,2781.436,71.2414,58.4136,15.0771,6.566
1982,Europe,47142.945,42616.176,2691.643,71.5347,58.6308,15.2372,6.6805
1983,Europe,47619.566,42714.715,2776.258,71.4905,58.5223,15.1747,6.6092
1984,Europe,48895.645,43317.75,2874.157,71.6044,58.5899,15.306,6.7251
1985,Europe,47164.879,41215.234,2765.208,71.7494,58.6402,15.2629,6.6601
1986,Europe,47802.664,41726.461,2708.273,72.524,59.2724,15.6111,6.8657
1987,Europe,48663.91,42273.465,2840.158,72.702,59.4204,15.7795,7.0002
1988,Europe,49024.312,42203.336,2939.658,72.8128,59.4651,15.8482,7.0379
1989,Europe,48748.391,42044.668,2670.805,72.9362,59.5113,15.9313,7.0807
1990,Europe,48656.051,41945.766,2731.203,72.8843,59.3889,15.9122,7.0781
1991,Europe,47882.0,41041.242,2775.202,72.869,59.3084,15.9255,7.1046
1992,Europe,46017.129,39089.668,2847.539,72.6774,59.0945,15.9529,7.1796
1993,Europe,44334.055,37203.191,2917.071,72.0794,58.4823,15.6255,7.0007
1994,Europe,42504.223,35438.992,2971.817,72.0876,58.4295,15.6511,7.0745
1995,Europe,42394.914,35201.441,2998.135,72.1867,58.4557,15.6642,7.0871
1996,Europe,42697.547,35425.734,2826.504,72.7376,58.9273,15.8327,7.1801
1997,Europe,41995.441,34557.832,2955.073,73.248,59.3684,16.0261,7.2973
1998,Europe,42222.023,34703.059,3087.984,73.5686,59.6268,16.1501,7.3629
1999,Europe,42186.426,34490.168,3167.033,73.3644,59.39,16.0935,7.3257
2000,Europe,42693.547,34766.996,3329.472,73.5229,59.4941,16.2044,7.4223
2001,Europe,43322.254,35210.906,3391.03,73.7801,59.7121,16.3434,7.5376
2002,Europe,43038.949,35118.402,3161.353,73.7608,59.656,16.2963,7.5205
2003,Europe,43747.227,35908.543,3044.326,73.8379,59.6841,16.2557,7.4685
2004,Europe,44269.43,36128.684,3335.541,74.3786,60.1794,16.6078,7.7564
2005,Europe,44343.543,36159.801,3443.359,74.5083,60.2697,16.6239,7.7259
2006,Europe,44919.312,36706.965,3489.541,75.1649,60.8842,16.9913,7.9304
2007,Europe,44471.723,36287.941,3680.644,75.5532,61.2412,17.1753,7.9877
2008,Europe,44241.188,35884.48,3884.482,75.8491,61.5036,17.3502,8.0218
2009,Europe,41528.055,33260.492,4014.757,76.2941,61.9233,17.6066,8.1306
